JOBNUMBER,JOBDSC,HOURSWORKED,EARNINGS
232231,Home Land Security,457,4204.4
232239,Home Land Security Activities,34,445.74
232561,OC Office Building - Janitor,1424.5,13105.4
232566,OC Office Bldg S&W Labs Rate,147,1500.87
232569,OC Office Building - Activities,127.25,"1,655.56"
232571,OC Social Services Bldg. - Rome,25,222.5
232571,Oneida County Social Services Bldg. - Rome,984.5,8762.05
232579,OC Social Services - Rome - Activities,12,130.32
232579,Oneida County Social Services - Rome - Activities,117,1270.62
232611,OGS Mohawk Janitor,36.5,335.8
232616,OGS S&W Labs Rate,8,81.68
232619,OGS Mohawk - Activities,4.5,41.49
232671,O'Shea Janitor F/T,919,8454.8
232676,O'Shea S&W Labs Rate,185,"1,888.85"
232679,O'Shea - Activities,92,1169.32
232721,OC Court House Rome Janitor,10,92
232721,Rome Court House Janitor,684,6292.8
232726,Rome Court House S&W Labs Rate,82.5,842.33
232729,OC   Court House Rome - Activities,4,36.84
232729,Rome Court House - Activities,65.5,628.29
232871,Walsh Janitor F/T,3527,32448.4
232872,Walsh Janitor P/T,1897,"17,452.40"
232876,Walsh S&W Labs Rate,325.5,3323.36
232879,Walsh - Activities,708.75,7834.45
232932,Wilson Janitor P/T,962,8850.4
232936,Wilson S&W Labs Rate,173,1766.33
232939,Wilson - Activities,101.75,937.15
233130,CENTRO 200 CORTLAND AVE,37,340.4
233130,CNY Centro - Syracuse - Janitor,4419.25,40657.1
233139,CNY Centro - Syracuse - Activities,317.2166667,4032.03
233140,NYS Fair,8171.766667,75169.82
233144,NYS Fair - Supervisor,175.4333333,2456.12
233149,NYS Fair - Activities,572.95,"5,343.22"
233160,Hillbrook Detention Center,1491.75,12755.37
233169,Hillbrook Detention Center - Activities,50,520
233170,SUNY Oswego,3713.75,"33,052.41"
233179,SUNY Oswego - Activities,90,1005.36
233180,William T. Walsh Regional Transportation Ctr.,2537,22579.31
233189,William T. Walsh Regional Trans. Ctr. Activities,157,1617.11
233190,Onondaga County Justice Center,656,"5,838.40"
233199,Onondaga County Justice Center - Activities,53,487.7
234100,Armory Grounds,391,"4,774.61"
234109,Armory Grounds Activities,3.75,45.79
234110,CNY DDSO,1250,15263.62
234110,CNY DSO,140.25,1724.66
234120,DRV Grounds,5.75,46
234130,Train Grounds,112.25,"1,370.86"
234160,Oneida County Grounds 3 Sites,302.5,4150.3
235100,Armory Snow Removal,156.75,1804.44
235109,Armory Snow Removal Activities,2,25.42
331040,FasterForm,16.5,119.68
331050,Fiserv,966.5,7048.02
331059,Fiserv - Activities,77,558.43
331060,Gilroy Kernan Gilroy,1144.5,"9,692.35"
331069,Gilroy - Activities,95,721.44
331070,HCCC,4517.25,"35,400.88"
331079,HCCC - Activities,99,769.9
331080,Hummels,257.5,"1,941.92"
331089,Hummels - Activities,18.75,141.23
331090,Matt Brewing Co,387.25,"2,811.39"
331099,Matt Brewing - Activities,22.5,163.2
331110,Natl Center Missing Children,110.75,803.09
331119,Natl Center MC - Activities,5,36.25
331150,OTB Bleecker,272.5,"2,509.76"
331159,OTB Bleecker - Activities,42,386.82
331160,OTB Cleats,319,2938
331169,OTB Cleats - Activities,46,423.66
331170,OTB Jerzees,320.25,2949.54
331179,OTB Jerzees - Activities,46,423.66
331180,M & T Bank,8215,63649.55
331189,M&T Bank - Activities,634.8,4948.18
331190,Rescue Mission,972.75,7651.19
331199,Rescue Mission - Activities,73,573.82
331200,Slocum Dickson-Utica,12316.5,96957.54
331209,Slocum Dickson-Utica  Activities,1048.116667,8255.51
331230,UCP Hatfield,1274.5,"10,623.75"
331239,UCP Hatfield - Activities,98.56666667,796.04
331270,Fused Corporation,104.5,940.5
331279,Fused Corporation - Activities,9.25,83.25
331280,TECT Power,739,"6,651.00"
331289,TECT Power - Activities,69,621
331290,Mt. Markham Central School,72,801.32
331300,Cornel Associates LLC @ 258 Genesee St.,885.5,8247.5
331309,Cornel Associates LLC @ 258 Genesee St. Activities,110.5,1014
331310,Slocum Dickson-Ilion,633.75,5293.8
331319,Slocum Dickson-Ilion Activities,47.5,401.36
331320,Army Reserve  Center (Elihu Root USARC),255.5,3515.68
331329,Army Reserve Center (Elihu Root USARC) Activities,13.75,189.2
331330,HCCC Farm House,21.75,217.5
331340,Ommegang Janitor,65,975
331350,Our Savior Lutheran Church,449,3989.83
331359,Our Savior Lutheran - Activities,10.88333333,97.95
331380,Mele & Co.,204,1836
331389,Mele & Co. - Activities,17,153
331419,Faxton-St. Luke's Healthcare Boonville Activities,5,45
331459,Faxton-St. Luke's Healthcare Waterville Activities,2.5,22.5
331500,HTC,2049,14983.68
331509,HTC - Activities,379.5,"2,982.08"
331510,MHC Utica,735.5,5618.39
331519,MHCU - Activities,59.5,441.55
332040,Griffiss Utility Services Corp,8,58.08
332080,Oneida Herk Solid Waste,196,"1,421.00"
332089,Oneida Herk Solid Waste - Activities,14,101.5
332090,OTB Legends,193.5,"1,782.69"
332099,OTB Legends - Activities,18,165.84
332130,Rome Justice Building,659,"6,764.06"
332139,Rome Justice Building - Activities,55.25,568.62
332520,MHC Rome,198.5,"1,439.13"
332529,MHCR - Activities,16,116
334100,Commercial Grounds Maintenance,2070.5,16549.79
334109,Commercial Grounds - Activities,377.4,3019.21
334120,DRV Grounds FG,643.5,5148
335100,Maintenance Plus Commercial,831.5,6028.84
335109,Maintenance Plus - Activities,69.25,502.08
335200,Maintenance Plus - HTC,452,"3,277.28"
335209,Maintenance Plus -HTC Activities,200.25,1451.84
335400,State Site Construction Cleanup  - R. Alexander,538,11250
335400,State Site Construction Site Cleanup,66.5,1396.5
335410,R. Alexander Co. Rome School For The Deaf (art 8) ,50,1050
336100,Food Services,33.75,244.7
393501,Distribution Center (New),34.25,248.35
